COMPANY_ID,USER_ID,EMAIL_ADDRESS,FIRST_NAME,LAST_NAME,JOB_TITLE,DEPARTMENT,MANAGER,HIRE_DATE,EMP_TYPE,REHIRE_DATE,TERMINATION_DATE,STATUS
123,manaol2113,manaol2112@gmail.com,Robert John,Manaol,IT Audit Manager,ACCOUNTING,ROSA GARCIA,2/1/95,Regular,,2/1/95,ACTIVE
456,joannmanaol,joannaorsemanaol@gmail.com,Joanna Rose,Manaol,IT Audit Manager,AUDIT,RAUL GARCIA,12/12/89,Regular,12/12/89,2/1/95,INACTIVE
789,sophiamerce,sophiamerce@gmail.com,Sophia Merce,Manaol,IT Audit Associate,IT,DITAS MANAOL,1/2/23,Contractor,,11/6/23,INACTIVE
789,user1,manaol2112@gmail.com,User 100,Test User,IT Audit Associate,ACCOUNTING,RJ MANAOL,1/3/23,Regular,,,ACTIVE
789,user2,manaol2112@gmail.com,User 2,Test,IT Audit Associate,AUDIT,RJ MANAOL,1/4/23,Regular,,11/6/23,ACTIVE
789,user3,manaol2112@gmail.com,User 3,Test,IT Audit Associate,IT,RJ MANAOL,1/5/23,Regular,,,ACTIVE
789,user4,manaol2112@gmail.com,User 4,Test,IT Audit Associate,ACCOUNTING,RJ MANAOL,1/6/23,Regular,,11/6/23,ACTIVE
789,user5,manaol2112@gmail.com,User 5,Test,IT Audit Associate,AUDIT,RJ MANAOL,1/7/23,Regular,,,ACTIVE
789,user6,manaol2112@gmail.com,User 6,Test,IT Audit Associate,IT,RJ MANAOL,1/8/23,Regular,,,ACTIVE
789,user7,manaol2112@gmail.com,User 7,Test,IT Audit Associate,ACCOUNTING,RJ MANAOL,1/9/23,Regular,,11/6/23,ACTIVE
789,user8,manaol2112@gmail.com,User 8,Test,IT Audit Associate,AUDIT,RJ MANAOL,1/10/23,Regular,,,ACTIVE
789,user9,manaol2112@gmail.com,User 9,Test,IT Audit Associate,IT,RJ MANAOL,1/11/23,Regular,,,ACTIVE
789,user10,manaol2112@gmail.com,User 10,Test,IT Audit Associate,ACCOUNTING,RJ MANAOL,1/12/23,Regular,,11/6/23,ACTIVE
789,user11,manaol2112@gmail.com,User 11,Test,IT Audit Associate,AUDIT,RJ MANAOL,1/13/23,Regular,,,ACTIVE
789,user12,manaol2112@gmail.com,User 12,Test,IT Audit Associate,IT,RJ MANAOL,1/14/23,Regular,,,ACTIVE
789,user13,manaol2112@gmail.com,User 13,Test,IT Audit Associate,ACCOUNTING,RJ MANAOL,1/15/23,Regular,,11/6/23,ACTIVE
789,user14,manaol2112@gmail.com,User 14,Test,IT Audit Associate,AUDIT,RJ MANAOL,1/16/23,Regular,,,ACTIVE
789,user15,manaol2112@gmail.com,User 15,Test,IT Audit Associate,IT,RJ MANAOL,1/17/23,Regular,,,ACTIVE
789,user16,manaol2112@gmail.com,User 16,Test,IT Audit Associate,ACCOUNTING,RJ MANAOL,1/18/23,Regular,,,ACTIVE
789,user17,manaol2112@gmail.com,User 17,Test,IT Audit Associate,AUDIT,RJ MANAOL,1/19/23,Regular,,,ACTIVE
789,user18,manaol2112@gmail.com,User 18,Test,IT Audit Associate,IT,RJ MANAOL,1/20/23,Regular,,11/6/23,ACTIVE
789,user19,manaol2112@gmail.com,User 19,Test,IT Audit Associate,ACCOUNTING,RJ MANAOL,1/21/23,Regular,,,ACTIVE
789,user20,manaol2112@gmail.com,User 20,Test,IT Audit Associate,AUDIT,RJ MANAOL,1/22/23,Regular,,,INACTIVE
789,user21,manaol2112@gmail.com,User 21,Test,IT Audit Associate,IT,RJ MANAOL,1/23/23,Regular,,,INACTIVE
789,user22,manaol2112@gmail.com,User 22,Test,IT Audit Associate,ACCOUNTING,RJ MANAOL,1/24/23,Regular,,,INACTIVE
789,user23,manaol2112@gmail.com,User 23,Test,IT Audit Associate,AUDIT,RJ MANAOL,1/25/23,Contractor,,,ACTIVE
789,user24,manaol2112@gmail.com,User 24,Test,IT Audit Associate,IT,RJ MANAOL,1/26/23,Contractor,,11/6/23,ACTIVE
789,user25,manaol2112@gmail.com,User 25,Test,IT Audit Associate,ACCOUNTING,RJ MANAOL,1/27/23,Contractor,,,ACTIVE
